CustomerID;CustomerName;Region;Segment
C001;Khach hang C001;HCM;Online
C002;Khach hang C002;HCM;Retail
C003;Khach hang C003;HN;Online
C004;Khach hang C004;MienTrung;Retail
C005;Khach hang C005;MienTrung;Online
C006;Khach hang C006;MienTrung;Online
C007;Khach hang C007;HCM;Retail
C008;Khach hang C008;HN;Retail
C009;Khach hang C009;TayNamBo;Wholesale
C010;Khach hang C010;MienTrung;Online
C011;Khach hang C011;HN;Retail
C012;Khach hang C012;TayNamBo;Online
C013;Khach hang C013;HCM;Online
C014;Khach hang C014;HCM;Wholesale
C015;Khach hang C015;HCM;Online
C016;Khach hang C016;HCM;Retail
C017;Khach hang C017;HCM;Online
C018;Khach hang C018;HCM;Wholesale
C019;Khach hang C019;TayNamBo;Online
C020;Khach hang C020;TayNamBo;Retail
C021;Khach hang C021;HCM;Retail
C022;Khach hang C022;TayNamBo;Retail
C023;Khach hang C023;HN;Retail
C024;Khach hang C024;HCM;Online
C025;Khach hang C025;MienTrung;Retail
C026;Khach hang C026;HN;Retail
C027;Khach hang C027;HN;Retail
C028;Khach hang C028;TayNamBo;Wholesale
C029;Khach hang C029;MienTrung;Online
C030;Khach hang C030;HN;Wholesale
