Date,Year,Quarter,Month,MonthName,Day,DayOfWeek,WeekOfYear
2024-01-01,2024,1,1,Jan,1,1,1
2024-01-02,2024,1,1,Jan,2,2,1
2024-01-03,2024,1,1,Jan,3,3,1
2024-01-04,2024,1,1,Jan,4,4,1
2024-01-05,2024,1,1,Jan,5,5,1
2024-01-06,2024,1,1,Jan,6,6,1
2024-01-07,2024,1,1,Jan,7,7,1
2024-01-08,2024,1,1,Jan,8,1,2
2024-01-09,2024,1,1,Jan,9,2,2
2024-01-10,2024,1,1,Jan,10,3,2
2024-01-11,2024,1,1,Jan,11,4,2
2024-01-12,2024,1,1,Jan,12,5,2
2024-01-13,2024,1,1,Jan,13,6,2
2024-01-14,2024,1,1,Jan,14,7,2
2024-01-15,2024,1,1,Jan,15,1,3
2024-01-16,2024,1,1,Jan,16,2,3
2024-01-17,2024,1,1,Jan,17,3,3
2024-01-18,2024,1,1,Jan,18,4,3
2024-01-19,2024,1,1,Jan,19,5,3
2024-01-20,2024,1,1,Jan,20,6,3
2024-01-21,2024,1,1,Jan,21,7,3
2024-01-22,2024,1,1,Jan,22,1,4
2024-01-23,2024,1,1,Jan,23,2,4
2024-01-24,2024,1,1,Jan,24,3,4
2024-01-25,2024,1,1,Jan,25,4,4
2024-01-26,2024,1,1,Jan,26,5,4
2024-01-27,2024,1,1,Jan,27,6,4
2024-01-28,2024,1,1,Jan,28,7,4
2024-01-29,2024,1,1,Jan,29,1,5
2024-01-30,2024,1,1,Jan,30,2,5
2024-01-31,2024,1,1,Jan,31,3,5
2024-02-01,2024,1,2,Feb,1,4,5
2024-02-02,2024,1,2,Feb,2,5,5
2024-02-03,2024,1,2,Feb,3,6,5
2024-02-04,2024,1,2,Feb,4,7,5
2024-02-05,2024,1,2,Feb,5,1,6
2024-02-06,2024,1,2,Feb,6,2,6
2024-02-07,2024,1,2,Feb,7,3,6
2024-02-08,2024,1,2,Feb,8,4,6
2024-02-09,2024,1,2,Feb,9,5,6
2024-02-10,2024,1,2,Feb,10,6,6
2024-02-11,2024,1,2,Feb,11,7,6
2024-02-12,2024,1,2,Feb,12,1,7
2024-02-13,2024,1,2,Feb,13,2,7
2024-02-14,2024,1,2,Feb,14,3,7
2024-02-15,2024,1,2,Feb,15,4,7
2024-02-16,2024,1,2,Feb,16,5,7
2024-02-17,2024,1,2,Feb,17,6,7
2024-02-18,2024,1,2,Feb,18,7,7
2024-02-19,2024,1,2,Feb,19,1,8
2024-02-20,2024,1,2,Feb,20,2,8
2024-02-21,2024,1,2,Feb,21,3,8
2024-02-22,2024,1,2,Feb,22,4,8
2024-02-23,2024,1,2,Feb,23,5,8
2024-02-24,2024,1,2,Feb,24,6,8
2024-02-25,2024,1,2,Feb,25,7,8
2024-02-26,2024,1,2,Feb,26,1,9
2024-02-27,2024,1,2,Feb,27,2,9
2024-02-28,2024,1,2,Feb,28,3,9
2024-02-29,2024,1,2,Feb,29,4,9
2024-03-01,2024,1,3,Mar,1,5,9
2024-03-02,2024,1,3,Mar,2,6,9
2024-03-03,2024,1,3,Mar,3,7,9
2024-03-04,2024,1,3,Mar,4,1,10
2024-03-05,2024,1,3,Mar,5,2,10
