ProductID,ProductName,Category,FragileFlag
P001,Product P001,Fashion,1
P002,Product P002,Cosmetics,0
P003,Product P003,Cosmetics,0
P004,Product P004,Household,0
P005,Product P005,Grocery,0
P006,Product P006,Cosmetics,1
P007,Product P007,Household,1
P008,Product P008,Fashion,0
P009,Product P009,Electronics,0
P010,Product P010,Fashion,0
P011,Product P011,Cosmetics,1
P012,Product P012,Grocery,1
P013,Product P013,Grocery,1
P014,Product P014,Electronics,1
P015,Product P015,Household,0
P016,Product P016,Electronics,0
P017,Product P017,Electronics,1
P018,Product P018,Grocery,0
P019,Product P019,Grocery,1
P020,Product P020,Cosmetics,0
P021,Product P021,Grocery,0
P022,Product P022,Fashion,1
P023,Product P023,Fashion,0
P024,Product P024,Electronics,0
P025,Product P025,Fashion,1
P026,Product P026,Grocery,0
P027,Product P027,Fashion,0
P028,Product P028,Household,0
P029,Product P029,Electronics,1
P030,Product P030,Electronics,0
