OrderID,Stage,Location,StageStart,StageEnd
1001,Receive,N/A,2024-01-01 08:00:00,2024-01-01 16:00:00
1001,WH_MAIN,WH_MAIN,2024-01-01 16:00:00,2024-01-02 08:00:00
1001,WH_SUB,K3,2024-01-02 08:00:00,2024-01-03 15:00:00
1001,Delivery,Customer,2024-01-03 15:00:00,2024-01-07 05:00:00
1002,Receive,N/A,2024-01-29 08:00:00,2024-01-29 12:00:00
1002,WH_MAIN,WH_MAIN,2024-01-29 12:00:00,2024-01-30 04:00:00
1002,WH_SUB,K2,2024-01-30 04:00:00,2024-02-01 03:00:00
1002,Delivery,Customer,2024-02-01 03:00:00,2024-02-04 18:00:00
1003,Receive,N/A,2024-01-12 08:00:00,2024-01-12 17:00:00
1003,WH_MAIN,WH_MAIN,2024-01-12 17:00:00,2024-01-13 03:00:00
1003,WH_SUB,K1,2024-01-13 03:00:00,2024-01-14 04:00:00
1003,Delivery,Customer,2024-01-14 04:00:00,2024-01-17 09:00:00
1004,Receive,N/A,2024-01-11 08:00:00,2024-01-11 15:00:00
1004,WH_MAIN,WH_MAIN,2024-01-11 15:00:00,2024-01-12 08:00:00
1004,WH_SUB,K1,2024-01-12 08:00:00,2024-01-14 04:00:00
1004,Delivery,Customer,2024-01-14 04:00:00,2024-01-17 01:00:00
1005,Receive,N/A,2024-01-11 08:00:00,2024-01-11 18:00:00
1005,WH_MAIN,WH_MAIN,2024-01-11 18:00:00,2024-01-12 10:00:00
1005,WH_SUB,K1,2024-01-12 10:00:00,2024-01-15 03:00:00
1005,Delivery,Customer,2024-01-15 03:00:00,2024-01-17 18:00:00
1006,Receive,N/A,2024-01-02 08:00:00,2024-01-02 12:00:00
1006,WH_MAIN,WH_MAIN,2024-01-02 12:00:00,2024-01-02 21:00:00
1006,WH_SUB,K3,2024-01-02 21:00:00,2024-01-03 23:00:00
1006,Delivery,Customer,2024-01-03 23:00:00,2024-01-06 05:00:00
1007,Receive,N/A,2024-01-10 08:00:00,2024-01-10 14:00:00
1007,WH_MAIN,WH_MAIN,2024-01-10 14:00:00,2024-01-10 21:00:00
1007,WH_SUB,K3,2024-01-10 21:00:00,2024-01-12 00:00:00
1008,Receive,N/A,2024-01-23 08:00:00,2024-01-23 11:00:00
1008,WH_MAIN,WH_MAIN,2024-01-23 11:00:00,2024-01-24 02:00:00
1008,WH_SUB,K1,2024-01-24 02:00:00,2024-01-25 03:00:00
1008,Delivery,Customer,2024-01-25 03:00:00,2024-01-29 01:00:00
1009,Receive,N/A,2024-01-28 08:00:00,2024-01-28 16:00:00
1009,WH_MAIN,WH_MAIN,2024-01-28 16:00:00,2024-01-29 05:00:00
