OrderID,OrderDate,CustomerID,Revenue,WarehouseRoute,Status,ReturnFlag,SLA_Result,FeedbackScore,ProductID,ChannelID
1001,2024-03-28,C029,365921,K3,Completed,0,1,4,P007,CH01
1002,2024-04-06,C042,599108,K2,Completed,0,1,3,P020,CH05
1003,2024-02-12,C010,786378,K1,Completed,0,1,5,P029,CH01
1004,2024-08-26,C026,285706,K1,Completed,0,1,3,P015,CH01
1005,2024-03-11,C039,259210,K1,Completed,0,1,5,P011,CH03
1006,2024-09-16,C001,726790,K3,Completed,0,1,3,P008,CH05
1007,2024-06-29,C044,598649,K3,Returned,1,0,3,P029,CH05
1008,2024-07-15,C031,276113,WH_MAIN,Completed,0,1,4,P021,CH04
1009,2024-11-16,C035,269060,K1,Completed,0,0,4,P007,CH01
1010,2024-07-27,C026,792497,K1,Completed,0,1,4,P026,CH01
1011,2024-04-21,C010,535499,K2,Completed,0,1,4,P019,CH02
1012,2024-05-14,C025,871702,K2,Completed,0,1,3,P023,CH04
1013,2024-04-29,C024,628733,K4,Completed,0,1,3,P011,CH02
1014,2024-06-14,C035,481458,K1,Completed,0,0,3,P011,CH02
1015,2024-04-06,C044,420668,WH_MAIN,Completed,0,1,4,P024,CH02
1016,2024-06-29,C029,678675,K3,Completed,0,1,4,P021,CH03
1017,2024-10-08,C046,387157,WH_MAIN,Completed,0,1,3,P004,CH03
1018,2024-06-18,C041,540263,K1,Completed,0,1,5,P008,CH02
1019,2024-05-12,C001,609061,K1,Completed,0,1,5,P024,CH04
1020,2024-07-09,C003,267421,K3,Completed,0,1,3,P003,CH01
1021,2024-06-20,C047,283582,K1,Completed,0,1,5,P022,CH04
1022,2024-05-14,C031,484880,K1,Returned,1,0,1,P021,CH05
1023,2024-05-06,C029,524282,K3,Completed,0,1,3,P002,CH03
1024,2024-11-03,C022,399389,K2,Completed,0,1,3,P024,CH01
1025,2024-08-15,C029,400055,K3,Completed,0,1,3,P012,CH01
1026,2024-12-21,C012,589156,K2,Returned,1,0,1,P030,CH05
1027,2024-09-03,C007,458884,WH_MAIN,Completed,0,0,3,P006,CH05
1028,2024-02-03,C035,817970,K4,Completed,0,1,5,P002,CH02
1029,2024-11-12,C044,854894,WH_MAIN,Completed,0,1,3,P028,CH03
1030,2024-01-09,C030,269221,K3,Completed,0,1,5,P021,CH03
1031,2024-09-05,C018,424753,K2,Completed,0,1,5,P001,CH04
1032,2024-02-09,C047,760667,K2,Completed,0,1,3,P012,CH02
1033,2024-08-22,C025,750476,K1,Completed,0,1,5,P026,CH02
1034,2024-06-07,C024,461562,K3,Completed,0,1,3,P022,CH02
1035,2024-11-17,C024,496419,K4,Completed,0,1,3,P029,CH02
1036,2024-09-10,C022,348485,K1,Completed,0,0,3,P012,CH03
1037,2024-06-11,C003,522920,WH_MAIN,Completed,0,1,5,P025,CH03
1038,2024-03-09,C002,888074,K2,Completed,0,1,3,P017,CH02
1039,2024-06-13,C014,730677,WH_MAIN,Completed,0,1,3,P027,CH04
1040,2024-08-19,C006,358947,K1,Completed,0,1,4,P027,CH01
1041,2024-10-04,C019,599354,K1,Completed,0,1,5,P010,CH01
1042,2024-06-23,C013,420492,K3,Completed,0,1,5,P028,CH04
1043,2024-09-24,C023,271169,K1,Completed,0,1,4,P028,CH02
1044,2024-06-17,C045,287128,WH_MAIN,Completed,0,1,5,P016,CH03
1045,2024-09-17,C032,687959,WH_MAIN,Returned,1,0,2,P015,CH01
1046,2024-09-14,C003,753795,K1,Completed,0,1,3,P030,CH05
1047,2024-06-20,C039,788065,WH_MAIN,Completed,0,1,4,P030,CH05
1048,2024-11-04,C029,491128,K3,Completed,0,1,5,P015,CH04
1049,2024-06-22,C002,322870,K2,Returned,1,0,1,P030,CH02
1050,2024-06-14,C005,309451,WH_MAIN,Completed,0,1,4,P019,CH01
1051,2024-04-27,C023,767629,K2,Completed,0,1,3,P012,CH02
1052,2024-08-23,C020,404904,K2,Completed,0,1,5,P023,CH01
1053,2024-10-30,C019,406026,K3,Completed,0,0,4,P020,CH04
1054,2024-11-23,C026,695955,K4,Returned,1,0,2,P025,CH04
1055,2024-06-04,C023,534524,K3,Completed,0,1,3,P003,CH05
1056,2024-04-25,C037,663205,K1,Completed,0,1,3,P005,CH02
1057,2024-09-10,C023,509511,K2,Completed,0,1,3,P019,CH05
1058,2024-04-23,C002,837377,K3,Completed,0,1,3,P007,CH02
1059,2024-08-11,C001,718000,K4,Completed,0,1,3,P021,CH05
1060,2024-07-22,C037,392486,K1,Completed,0,1,3,P009,CH03
1061,2024-10-18,C031,511743,WH_MAIN,Completed,0,1,5,P007,CH03
1062,2024-08-07,C038,259598,K4,Completed,0,1,4,P018,CH03
1063,2024-04-13,C024,602666,K3,Completed,0,1,4,P004,CH03
1064,2024-10-13,C010,657035,K2,Completed,0,1,4,P025,CH01
1065,2024-04-18,C004,587449,K2,Completed,0,1,4,P028,CH03
1066,2024-09-12,C034,483704,K2,Completed,0,1,5,P014,CH04
1067,2024-10-12,C036,529628,K1,Completed,0,1,4,P018,CH04
1068,2024-08-12,C005,702325,K3,Completed,0,1,5,P026,CH01
1069,2024-12-22,C037,570250,WH_MAIN,Returned,1,0,2,P009,CH03
1070,2024-04-27,C050,651523,K1,Completed,0,1,4,P026,CH03
1071,2024-06-15,C013,507768,K1,Completed,0,1,3,P021,CH03
1072,2024-10-14,C012,417689,K4,Completed,0,1,3,P002,CH05
1073,2024-11-26,C049,589795,K2,Completed,0,1,3,P020,CH02
1074,2024-03-13,C041,287532,WH_MAIN,Completed,0,1,3,P028,CH05
1075,2024-08-31,C044,567810,K1,Completed,0,1,5,P015,CH02
1076,2024-09-18,C004,825314,K3,Completed,0,1,4,P028,CH03
1077,2024-12-21,C040,526186,K1,Completed,0,1,5,P007,CH03
1078,2024-12-22,C035,339835,K2,Completed,0,1,5,P012,CH05
1079,2024-04-20,C048,816227,WH_MAIN,Returned,1,0,2,P029,CH05
1080,2024-08-30,C046,310818,K2,Completed,0,1,5,P008,CH02
1081,2024-07-03,C007,267666,K2,Completed,0,1,5,P015,CH04
1082,2024-05-19,C046,353359,K3,Completed,0,1,5,P003,CH02
1083,2024-10-05,C013,670927,K3,Completed,0,1,5,P014,CH05
1084,2024-07-16,C020,288247,K1,Returned,1,0,1,P017,CH05
1085,2024-09-06,C006,461802,K2,Completed,0,1,5,P004,CH01
1086,2024-03-05,C022,360850,K4,Completed,0,1,3,P018,CH05
1087,2024-09-20,C006,300747,K4,Completed,0,1,4,P008,CH01
1088,2024-12-22,C041,628758,K3,Completed,0,1,5,P004,CH04
1089,2024-07-27,C044,472038,K1,Completed,0,1,4,P002,CH02
1090,2024-01-02,C046,742848,K2,Completed,0,1,3,P030,CH02
1091,2024-09-11,C003,303915,K1,Completed,0,1,5,P006,CH01
1092,2024-12-28,C014,353921,K2,Completed,0,1,3,P022,CH02
1093,2024-12-29,C034,512545,K1,Completed,0,1,5,P010,CH05
1094,2024-02-26,C011,609073,K2,Returned,1,0,1,P004,CH03
1095,2024-03-05,C012,399190,K1,Completed,0,1,3,P022,CH01
1096,2024-12-12,C049,716728,WH_MAIN,Returned,1,0,2,P029,CH02
1097,2024-10-12,C017,708862,K1,Completed,0,1,5,P018,CH01
1098,2024-12-31,C040,624694,K4,Completed,0,0,3,P026,CH01
1099,2024-10-29,C025,592291,K3,Returned,1,1,1,P012,CH03
1100,2024-08-06,C008,462942,K3,Completed,0,1,3,P002,CH05
1101,2024-11-26,C019,475415,K4,Completed,0,0,3,P010,CH01
1102,2024-12-25,C048,789441,K2,Completed,0,1,3,P030,CH02
1103,2024-11-16,C021,408966,K1,Completed,0,1,5,P004,CH04
1104,2024-11-08,C017,434761,K2,Returned,1,0,3,P014,CH01
1105,2024-10-31,C015,813141,K1,Completed,0,1,3,P016,CH01
1106,2024-11-26,C003,393194,K4,Completed,0,1,5,P015,CH03
1107,2024-05-31,C038,346283,K3,Completed,0,1,4,P008,CH05
1108,2024-10-24,C021,271558,K2,Completed,0,1,3,P014,CH04
1109,2024-12-13,C036,380317,WH_MAIN,Completed,0,1,3,P023,CH02
1110,2024-02-10,C020,800510,WH_MAIN,Completed,0,1,5,P028,CH04
1111,2024-10-12,C008,527588,K2,Returned,1,0,2,P025,CH02
1112,2024-08-16,C022,340490,WH_MAIN,Completed,0,1,5,P030,CH05
1113,2024-06-26,C015,299027,K4,Completed,0,1,3,P008,CH02
1114,2024-07-16,C010,671311,K3,Completed,0,1,5,P021,CH03
1115,2024-06-21,C048,672889,WH_MAIN,Completed,0,1,5,P016,CH03
1116,2024-07-22,C041,735175,K1,Completed,0,1,4,P013,CH03
1117,2024-08-18,C005,652285,K4,Completed,0,1,5,P018,CH03
1118,2024-11-27,C041,650368,K2,Completed,0,1,3,P015,CH04
1119,2024-03-01,C020,765469,K1,Completed,0,0,5,P021,CH05
1120,2024-08-15,C005,647308,K3,Returned,1,0,3,P024,CH02
1121,2024-11-15,C019,684370,K2,Returned,1,0,1,P026,CH02
1122,2024-09-13,C030,893060,K2,Completed,0,1,4,P025,CH03
1123,2024-01-09,C029,310402,WH_MAIN,Completed,0,1,4,P028,CH03
1124,2024-11-04,C010,265170,K2,Completed,0,1,3,P028,CH01
1125,2024-11-09,C018,397628,K3,Completed,0,1,5,P028,CH05
1126,2024-03-29,C009,751478,K1,Completed,0,1,4,P013,CH04
1127,2024-10-16,C039,551441,K1,Completed,0,1,3,P009,CH02
1128,2024-02-28,C015,299245,WH_MAIN,Completed,0,1,5,P029,CH01
1129,2024-04-16,C024,692378,WH_MAIN,Completed,0,1,5,P015,CH01
1130,2024-01-31,C046,741171,K3,Completed,0,1,5,P013,CH02
1131,2024-12-17,C033,765915,K1,Completed,0,1,4,P001,CH04
1132,2024-07-22,C027,681368,K2,Completed,0,1,3,P025,CH01
1133,2024-09-08,C048,878130,WH_MAIN,Completed,0,1,4,P007,CH01
1134,2024-07-13,C037,731684,K1,Returned,1,0,2,P009,CH05
1135,2024-07-21,C006,830589,WH_MAIN,Completed,0,0,5,P024,CH04
1136,2024-08-11,C015,307545,K4,Completed,0,1,5,P001,CH01
1137,2024-09-25,C028,711110,K1,Completed,0,1,5,P012,CH04
1138,2024-05-27,C030,839559,K3,Completed,0,1,5,P008,CH02
1139,2024-10-02,C035,579640,K1,Completed,0,1,4,P024,CH03
1140,2024-12-05,C004,839970,K4,Completed,0,1,3,P011,CH01
1141,2024-05-30,C021,704221,WH_MAIN,Completed,0,1,4,P019,CH05
